"a_longitude","a_latitude","b_longitude","b_latitude","st_distance"
"73.35875899999999","22.6843011","73.9961854","18.5610789","461298.84396246"
"73.35875899999999","22.6843011","75.9917895","20.88684","337266.01438799"
"73.35875899999999","22.6843011","72.47064379999999","22.9669356","96391.24265243"
"70.7916122","22.2523996","73.0377602","18.999006299999998","429561.81226132"
"73.9114866","17.6799253","73.2905674","22.2665673","511900.46417003"
"74.24930979999999","16.7037706","75.445853","19.822419099999998","367636.03466571"
"73.8837351","15.5753224","73.9961854","18.5610789","330650.96472607"
"73.35875899999999","22.6843011","75.445853","19.822419099999998","383821.1882097"
"74.08917819999999","18.555028699999998","73.9961854","18.5610789","9839.77284585"
"70.7907188","22.264263399999997","73.2905674","22.2665673","257653.8203038"
